lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
10.5376,12.137999999999998,25.2748,28.364799999999995,56.5,66.0,122.5,139.0,1.0,1.5,3.0,3.5,2.5,7.5,12.0,15.0,0.5477,0.8585500000000001,1.5525000000000002,1.84835,41.425,113.565,186.09630700000002,229.376307,0.0,0.9350000000000003,1.6000000000000003,2.0450000000000004,0.0,2.0,5.5,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,0.13999999999999996,0.11999999999999994,0.0,-6.900000000000001,-7.403555000000001,-10.403555000000003,11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,mof_primitive
10.76738,11.826899999999998,19.085479999999997,19.3086,58.4,64.8,104.0,100.8,1.0,1.4,2.0,2.4,2.6,5.4,6.8,10.2,0.5448999999999999,0.7931000000000001,1.11316,1.309,48.010000000000005,97.406,121.46000000000001,173.81006860000002,0.0,0.35600000000000004,0.7120000000000001,1.3960000000000001,0.0,0.8,1.6,4.0,0.0,0.0,0.0,0.0,0.0,-0.8,-1.6,-2.6,0.0,-0.016000000000000014,-0.03200000000000003,0.019999999999999952,0.0,-2.4000000000000004,-4.800000000000001,-7.4614220000000016,9.2416,15.504,29.944,39.1856,49.0,84.0,133.0,182.0,1.0,2.0,4.0,5.0,4.0,12.0,20.0,24.0,0.5625,1.155,2.0100000000000002,2.5725000000000002,54.760000000000005,167.24,284.21261400000003,338.972614,0.0,0.9800000000000004,2.3100000000000005,2.3100000000000005,0.0,2.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,0.31999999999999995,0.31999999999999995,0.0,-7.800000000000001,-8.807110000000002,-8.807110000000002,mof_primitive
10.5376,12.137999999999998,25.2748,28.364799999999995,56.5,66.0,122.5,139.0,1.0,1.5,3.0,3.5,2.5,7.5,12.0,15.0,0.5477,0.8585500000000001,1.5525000000000002,1.84835,41.425,113.565,186.09630700000002,229.376307,0.0,0.9350000000000003,1.6000000000000003,2.0450000000000004,0.0,2.0,5.5,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,0.13999999999999996,0.11999999999999994,0.0,-6.900000000000001,-7.403555000000001,-10.403555000000003,11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,mof_primitive
10.5376,12.137999999999998,25.2748,28.364799999999995,56.5,66.0,122.5,139.0,1.0,1.5,3.0,3.5,2.5,7.5,12.0,15.0,0.5477,0.8585500000000001,1.5525000000000002,1.84835,41.425,113.565,186.09630700000002,229.376307,0.0,0.9350000000000003,1.6000000000000003,2.0450000000000004,0.0,2.0,5.5,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,0.13999999999999996,0.11999999999999994,0.0,-6.900000000000001,-7.403555000000001,-10.403555000000003,11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,mof_primitive
10.9696,11.016,23.718399999999992,24.75786666666666,59.0,60.0,119.0,124.66666666666667,1.0,1.3333333333333333,2.6666666666666665,3.0,2.0,6.0,9.333333333333334,12.0,0.5427666666666666,0.7597333333333335,1.4000000000000001,1.6069666666666667,36.980000000000004,95.67333333333333,153.39087133333337,192.84420466666666,0.0,0.9200000000000003,1.363333333333334,1.956666666666667,0.0,2.0,4.333333333333333,5.666666666666667,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.3333333333333335,0.0,-0.040000000000000036,0.07999999999999996,0.05333333333333327,0.0,-6.6000000000000005,-6.9357033333333336,-10.935703333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
10.5376,12.138,25.274799999999995,28.3648,56.5,66.0,122.5,139.0,1.0,1.5,3.0,3.5,2.5,7.5,12.0,15.0,0.5477,0.85855,1.5525,1.8483500000000002,41.425000000000004,113.565,186.09630700000002,229.376307,0.0,0.9350000000000003,1.6000000000000005,2.0450000000000004,0.0,2.0,5.5,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,0.13999999999999996,0.11999999999999994,0.0,-6.9,-7.403555000000001,-10.403555,11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,mof_primitive
10.9696,11.016,23.718399999999992,24.75786666666666,59.0,60.0,119.0,124.66666666666667,1.0,1.3333333333333333,2.6666666666666665,3.0,2.0,6.0,9.333333333333334,12.0,0.5427666666666666,0.7597333333333335,1.4000000000000001,1.6069666666666669,36.980000000000004,95.67333333333333,153.39087133333337,192.84420466666666,0.0,0.9200000000000003,1.363333333333334,1.956666666666667,0.0,2.0,4.333333333333333,5.666666666666667,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.3333333333333335,0.0,-0.040000000000000036,0.07999999999999996,0.05333333333333327,0.0,-6.6000000000000005,-6.9357033333333336,-10.935703333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
10.5376,12.138,25.274799999999995,28.3648,56.5,66.0,122.5,139.0,1.0,1.5,3.0,3.5,2.5,7.5,12.0,15.0,0.5477,0.85855,1.5525,1.8483500000000002,41.425000000000004,113.565,186.09630700000002,229.376307,0.0,0.9350000000000003,1.6000000000000005,2.0450000000000004,0.0,2.0,5.5,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,0.13999999999999996,0.11999999999999994,0.0,-6.9,-7.403555000000001,-10.403555,11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,mof_primitive
10.76738,11.826899999999998,19.085479999999997,19.3086,58.4,64.8,104.0,100.8,1.0,1.4,2.0,2.4,2.6,5.4,6.8,10.2,0.5448999999999999,0.7931000000000001,1.1131600000000001,1.309,48.010000000000005,97.406,121.46000000000001,173.8100686,0.0,0.35600000000000004,0.7120000000000001,1.3960000000000001,0.0,0.8,1.6,4.0,0.0,0.0,0.0,0.0,0.0,-0.8,-1.6,-2.6,0.0,-0.016000000000000014,-0.03200000000000003,0.019999999999999952,0.0,-2.400000000000001,-4.800000000000001,-7.4614220000000016,9.2416,15.504,29.944,39.1856,49.0,84.0,133.0,182.0,1.0,2.0,4.0,5.0,4.0,12.0,20.0,24.0,0.5625,1.155,2.0100000000000002,2.5725000000000002,54.760000000000005,167.24,284.21261400000003,338.972614,0.0,0.9800000000000004,2.3100000000000005,2.3100000000000005,0.0,2.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,0.31999999999999995,0.31999999999999995,0.0,-7.800000000000001,-8.807110000000002,-8.807110000000002,mof_primitive
10.5376,12.137999999999998,25.2748,28.364799999999995,56.5,66.0,122.5,139.0,1.0,1.5,3.0,3.5,2.5,7.5,12.0,15.0,0.5477,0.8585500000000001,1.5525000000000002,1.84835,41.425,113.565,186.09630700000002,229.376307,0.0,0.9350000000000003,1.6000000000000003,2.0450000000000004,0.0,2.0,5.5,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,0.13999999999999996,0.11999999999999994,0.0,-6.900000000000001,-7.403555000000001,-10.403555000000003,11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,mof_primitive
10.9696,11.015999999999998,23.7184,24.75786666666666,59.0,60.0,119.0,124.66666666666667,1.0,1.3333333333333333,2.6666666666666665,3.0,2.0,6.0,9.333333333333334,12.0,0.5427666666666666,0.7597333333333335,1.4000000000000001,1.6069666666666667,36.98,95.67333333333333,153.39087133333337,192.84420466666666,0.0,0.9200000000000003,1.3633333333333335,1.956666666666667,0.0,2.0,4.333333333333333,5.666666666666667,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.3333333333333335,0.0,-0.040000000000000036,0.07999999999999996,0.05333333333333327,0.0,-6.600000000000001,-6.935703333333335,-10.935703333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
10.5376,12.137999999999998,25.2748,28.364799999999995,56.5,66.0,122.5,139.0,1.0,1.5,3.0,3.5,2.5,7.5,12.0,15.0,0.5477,0.8585500000000001,1.5525000000000002,1.84835,41.425,113.565,186.09630700000002,229.376307,0.0,0.9350000000000003,1.6000000000000003,2.0450000000000004,0.0,2.0,5.5,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,0.13999999999999996,0.11999999999999994,0.0,-6.900000000000001,-7.403555000000001,-10.403555000000003,11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,mof_primitive
10.76738,11.826899999999998,19.085479999999997,19.308599999999995,58.4,64.8,104.0,100.8,1.0,1.4,2.0,2.4,2.6,5.4,6.8,10.2,0.5448999999999999,0.7931000000000001,1.11316,1.309,48.010000000000005,97.406,121.46000000000001,173.81006860000002,0.0,0.35600000000000004,0.7120000000000001,1.3960000000000001,0.0,0.8,1.6,4.0,0.0,0.0,0.0,0.0,0.0,-0.8,-1.6,-2.6,0.0,-0.016000000000000014,-0.03200000000000003,0.019999999999999952,0.0,-2.4000000000000004,-4.800000000000001,-7.4614220000000016,9.2416,15.504,29.944,39.1856,49.0,84.0,133.0,182.0,1.0,2.0,4.0,5.0,4.0,12.0,20.0,24.0,0.5625,1.155,2.0100000000000002,2.5725000000000002,54.760000000000005,167.24,284.21261400000003,338.972614,0.0,0.9800000000000004,2.3100000000000005,2.3100000000000005,0.0,2.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,0.31999999999999995,0.31999999999999995,0.0,-7.800000000000001,-8.807110000000002,-8.807110000000002,mof_primitive
10.9696,11.015999999999998,23.7184,24.75786666666666,59.0,60.0,119.0,124.66666666666667,1.0,1.3333333333333333,2.6666666666666665,3.0,2.0,6.0,9.333333333333334,12.0,0.5427666666666666,0.7597333333333335,1.4000000000000001,1.6069666666666667,36.98,95.67333333333333,153.39087133333337,192.84420466666666,0.0,0.9200000000000003,1.3633333333333335,1.956666666666667,0.0,2.0,4.333333333333333,5.666666666666667,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.3333333333333335,0.0,-0.040000000000000036,0.07999999999999996,0.05333333333333327,0.0,-6.600000000000001,-6.935703333333335,-10.935703333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
10.5376,12.137999999999998,25.2748,28.364799999999995,56.5,66.0,122.5,139.0,1.0,1.5,3.0,3.5,2.5,7.5,12.0,15.0,0.5477,0.8585500000000001,1.5525000000000002,1.84835,41.425,113.565,186.09630700000002,229.376307,0.0,0.9350000000000003,1.6000000000000003,2.0450000000000004,0.0,2.0,5.5,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,0.13999999999999996,0.11999999999999994,0.0,-6.900000000000001,-7.403555000000001,-10.403555000000003,11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,mof_primitive
10.5376,12.137999999999998,25.2748,28.364799999999995,56.5,66.0,122.5,139.0,1.0,1.5,3.0,3.5,2.5,7.5,12.0,15.0,0.5477,0.8585500000000001,1.5525000000000002,1.84835,41.425,113.565,186.09630700000002,229.376307,0.0,0.9350000000000003,1.6000000000000003,2.0450000000000004,0.0,2.0,5.5,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,0.13999999999999996,0.11999999999999994,0.0,-6.900000000000001,-7.403555000000001,-10.403555000000003,11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,mof_primitive
10.9696,11.015999999999998,23.7184,24.75786666666666,59.0,60.0,119.0,124.66666666666667,1.0,1.3333333333333333,2.6666666666666665,3.0,2.0,6.0,9.333333333333334,12.0,0.5427666666666666,0.7597333333333335,1.4000000000000001,1.6069666666666667,36.98,95.67333333333333,153.39087133333337,192.84420466666666,0.0,0.9200000000000003,1.3633333333333335,1.956666666666667,0.0,2.0,4.333333333333333,5.666666666666667,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.3333333333333335,0.0,-0.040000000000000036,0.07999999999999996,0.05333333333333327,0.0,-6.600000000000001,-6.935703333333335,-10.935703333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
10.5376,12.137999999999998,25.2748,28.364799999999995,56.5,66.0,122.5,139.0,1.0,1.5,3.0,3.5,2.5,7.5,12.0,15.0,0.5477,0.8585500000000001,1.5525000000000002,1.84835,41.425,113.565,186.09630700000002,229.376307,0.0,0.9350000000000003,1.6000000000000003,2.0450000000000004,0.0,2.0,5.5,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,0.13999999999999996,0.11999999999999994,0.0,-6.900000000000001,-7.403555000000001,-10.403555000000003,11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,mof_primitive
10.5376,12.138,25.274799999999995,28.3648,56.5,66.0,122.5,139.0,1.0,1.5,3.0,3.5,2.5,7.5,12.0,15.0,0.5477,0.85855,1.5525,1.8483500000000002,41.425000000000004,113.565,186.09630700000002,229.376307,0.0,0.9350000000000003,1.6000000000000005,2.0450000000000004,0.0,2.0,5.5,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,0.13999999999999996,0.11999999999999994,0.0,-6.9,-7.403555000000001,-10.403555,11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,mof_primitive
10.5376,12.137999999999998,25.2748,28.364799999999995,56.5,66.0,122.5,139.0,1.0,1.5,3.0,3.5,2.5,7.5,12.0,15.0,0.5477,0.8585500000000001,1.5525000000000002,1.84835,41.425,113.565,186.09630700000002,229.376307,0.0,0.9350000000000003,1.6000000000000003,2.0450000000000004,0.0,2.0,5.5,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,0.13999999999999996,0.11999999999999994,0.0,-6.900000000000001,-7.403555000000001,-10.403555000000003,11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,mof_primitive
10.9696,11.016,23.718399999999992,24.75786666666666,59.0,60.0,119.0,124.66666666666667,1.0,1.3333333333333333,2.6666666666666665,3.0,2.0,6.0,9.333333333333334,12.0,0.5427666666666666,0.7597333333333335,1.4000000000000001,1.6069666666666669,36.980000000000004,95.67333333333333,153.39087133333337,192.84420466666666,0.0,0.9200000000000003,1.363333333333334,1.956666666666667,0.0,2.0,4.333333333333333,5.666666666666667,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.3333333333333335,0.0,-0.040000000000000036,0.07999999999999996,0.05333333333333327,0.0,-6.6000000000000005,-6.9357033333333336,-10.935703333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
10.5376,12.137999999999998,25.2748,28.364799999999995,56.5,66.0,122.5,139.0,1.0,1.5,3.0,3.5,2.5,7.5,12.0,15.0,0.5477,0.8585500000000001,1.5525000000000002,1.84835,41.425,113.565,186.09630700000002,229.376307,0.0,0.9350000000000003,1.6000000000000003,2.0450000000000004,0.0,2.0,5.5,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,0.13999999999999996,0.11999999999999994,0.0,-6.900000000000001,-7.403555000000001,-10.403555000000003,11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,mof_primitive
10.5376,12.137999999999998,25.2748,28.364799999999995,56.5,66.0,122.5,139.0,1.0,1.5,3.0,3.5,2.5,7.5,12.0,15.0,0.5477,0.8585500000000001,1.5525,1.84835,41.425,113.565,186.09630700000002,229.376307,0.0,0.9350000000000003,1.6000000000000003,2.0450000000000004,0.0,2.0,5.5,6.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,-0.040000000000000036,0.13999999999999996,0.11999999999999994,0.0,-6.900000000000001,-7.403555000000001,-10.403555000000003,11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,mof_primitive
10.9696,11.015999999999998,23.7184,24.75786666666666,59.0,60.0,119.0,124.66666666666667,1.0,1.3333333333333333,2.6666666666666665,3.0,2.0,6.0,9.333333333333334,12.0,0.5427666666666666,0.7597333333333335,1.4000000000000001,1.6069666666666667,36.98,95.67333333333333,153.39087133333337,192.84420466666666,0.0,0.9200000000000003,1.3633333333333335,1.956666666666667,0.0,2.0,4.333333333333333,5.666666666666667,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.3333333333333335,0.0,-0.040000000000000036,0.07999999999999996,0.05333333333333327,0.0,-6.600000000000001,-6.935703333333335,-10.935703333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mof_primitive
