lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
10.5376,13.255199999999999,21.11,14.585999999999999,56.5,71.25,113.75,79.5,1.0,1.5,2.25,1.75,2.5,6.0,8.0,7.5,0.5477,0.8473,1.258125,0.995225,41.425000000000004,91.92,126.87,122.60499999999999,0.0,0.5675000000000001,0.6900000000000002,1.2575000000000003,0.0,1.25,1.5,2.75,0.0,0.0,0.0,0.0,0.0,-1.25,-1.5,-2.75,0.0,-0.025000000000000022,-0.030000000000000027,-0.05500000000000005,0.0,-3.9750000000000005,-4.95,-8.925,9.2416,17.7384,21.6144,11.628,49.0,94.5,115.5,63.0,1.0,2.0,2.5,1.5,4.0,9.0,12.0,9.0,0.5625,1.1325,1.4212500000000001,0.86625,54.760000000000005,123.95,165.76,125.43,0.0,0.2450000000000001,0.4900000000000002,0.7350000000000003,0.0,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0,-1.5,0.0,-0.010000000000000009,-0.020000000000000018,-0.030000000000000027,0.0,-1.9500000000000002,-3.9000000000000004,-5.8500000000000005,mof_primitive
10.5376,13.627599999999997,18.799599999999998,12.648,56.5,73.0,101.5,69.0,1.0,1.5,2.0,1.5,2.5,5.5,7.0,6.0,0.5477,0.84355,1.1175000000000002,0.8508500000000001,41.425,84.70500000000001,113.18,101.7,0.0,0.44500000000000006,0.6900000000000002,1.1350000000000002,0.0,1.0,1.5,2.5,0.0,0.0,0.0,0.0,0.0,-1.0,-1.5,-2.5,0.0,-0.020000000000000018,-0.030000000000000027,-0.050000000000000044,0.0,-3.0000000000000004,-4.950000000000001,-7.950000000000001,9.2416,16.9936,26.2352,15.504,49.0,91.0,140.0,84.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,12.0,0.5625,1.1400000000000001,1.7025000000000001,1.155,54.760000000000005,138.38,193.14,167.24,0.0,0.4900000000000002,0.4900000000000002,0.9800000000000004,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.040000000000000036,0.0,-3.9000000000000004,-3.9000000000000004,-7.800000000000001,mof_primitive
10.5376,13.6276,18.799599999999998,12.647999999999998,56.5,73.0,101.5,69.0,1.0,1.5,2.0,1.5,2.5,5.5,7.0,6.0,0.5477,0.84355,1.1175,0.8508500000000001,41.425000000000004,84.705,113.18,101.69999999999999,0.0,0.44500000000000006,0.6900000000000002,1.1350000000000002,0.0,1.0,1.5,2.5,0.0,0.0,0.0,0.0,0.0,-1.0,-1.5,-2.5,0.0,-0.020000000000000018,-0.030000000000000027,-0.050000000000000044,0.0,-3.0000000000000004,-4.95,-7.950000000000001,9.2416,16.9936,26.2352,15.504,49.0,91.0,140.0,84.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,12.0,0.5625,1.1400000000000001,1.7025000000000001,1.155,54.760000000000005,138.38,193.14,167.24,0.0,0.4900000000000002,0.4900000000000002,0.9800000000000004,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.040000000000000036,0.0,-3.9000000000000004,-3.9000000000000004,-7.800000000000001,mof_primitive
10.2784,14.300799999999999,20.286719999999995,13.2192,55.0,76.6,109.2,72.0,1.0,1.6,2.2,1.6,2.8,6.4,8.4,7.2,0.5506599999999999,0.9028400000000001,1.2345000000000002,0.9116800000000002,44.092,95.44000000000001,129.172,114.80799999999999,0.0,0.45400000000000007,0.6500000000000001,1.1040000000000003,0.0,1.0,1.4,2.4,0.0,0.0,0.0,0.0,0.0,-1.0,-1.4,-2.4,0.0,-0.020000000000000018,-0.028000000000000025,-0.04800000000000004,0.0,-3.1800000000000006,-4.74,-7.920000000000002,9.2416,16.9936,26.2352,15.504,49.0,91.0,140.0,84.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,12.0,0.5625,1.1400000000000001,1.7025000000000001,1.155,54.760000000000005,138.38,193.14,167.24,0.0,0.4900000000000002,0.4900000000000002,0.9800000000000004,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.040000000000000036,0.0,-3.9000000000000004,-3.9000000000000004,-7.800000000000001,mof_primitive
10.5376,13.627599999999997,18.799599999999998,12.648,56.5,73.0,101.5,69.0,1.0,1.5,2.0,1.5,2.5,5.5,7.0,6.0,0.5477,0.84355,1.1175000000000002,0.8508500000000001,41.425,84.70500000000001,113.18,101.7,0.0,0.44500000000000006,0.6900000000000002,1.1350000000000002,0.0,1.0,1.5,2.5,0.0,0.0,0.0,0.0,0.0,-1.0,-1.5,-2.5,0.0,-0.020000000000000018,-0.030000000000000027,-0.050000000000000044,0.0,-3.0000000000000004,-4.950000000000001,-7.950000000000001,9.2416,16.9936,26.2352,15.504,49.0,91.0,140.0,84.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,12.0,0.5625,1.1400000000000001,1.7025000000000001,1.155,54.760000000000005,138.38,193.14,167.24,0.0,0.4900000000000002,0.4900000000000002,0.9800000000000004,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.040000000000000036,0.0,-3.9000000000000004,-3.9000000000000004,-7.800000000000001,mof_primitive
10.2784,14.300799999999999,20.28672,13.219199999999997,55.0,76.6,109.2,72.0,1.0,1.6,2.2,1.6,2.8,6.4,8.4,7.2,0.5506599999999999,0.9028400000000001,1.2345000000000002,0.9116800000000002,44.092000000000006,95.44,129.172,114.80799999999999,0.0,0.45400000000000007,0.6500000000000001,1.1040000000000003,0.0,1.0,1.4,2.4,0.0,0.0,0.0,0.0,0.0,-1.0,-1.4,-2.4,0.0,-0.020000000000000018,-0.028000000000000025,-0.04800000000000004,0.0,-3.1800000000000006,-4.74,-7.92,9.2416,16.9936,26.2352,15.504,49.0,91.0,140.0,84.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,12.0,0.5625,1.1400000000000001,1.7025000000000001,1.155,54.760000000000005,138.38,193.14000000000001,167.24,0.0,0.4900000000000002,0.4900000000000002,0.9800000000000004,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.040000000000000036,0.0,-3.9000000000000004,-3.9000000000000004,-7.800000000000001,mof_primitive
10.2784,14.300799999999999,20.28672,13.219199999999997,55.0,76.6,109.2,72.0,1.0,1.6,2.2,1.6,2.8,6.4,8.4,7.2,0.5506599999999999,0.9028400000000001,1.2345000000000002,0.9116800000000002,44.092000000000006,95.44,129.172,114.80799999999999,0.0,0.45400000000000007,0.6500000000000001,1.1040000000000003,0.0,1.0,1.4,2.4,0.0,0.0,0.0,0.0,0.0,-1.0,-1.4,-2.4,0.0,-0.020000000000000018,-0.028000000000000025,-0.04800000000000004,0.0,-3.1800000000000006,-4.74,-7.92,9.2416,16.9936,26.2352,15.504,49.0,91.0,140.0,84.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,12.0,0.5625,1.1400000000000001,1.7025000000000001,1.155,54.760000000000005,138.38,193.14000000000001,167.24,0.0,0.4900000000000002,0.4900000000000002,0.9800000000000004,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.040000000000000036,0.0,-3.9000000000000004,-3.9000000000000004,-7.800000000000001,mof_primitive
10.5376,13.255199999999999,21.11,14.585999999999999,56.5,71.25,113.75,79.5,1.0,1.5,2.25,1.75,2.5,6.0,8.0,7.5,0.5477,0.8473,1.258125,0.995225,41.425000000000004,91.92,126.87,122.60499999999999,0.0,0.5675000000000001,0.6900000000000002,1.2575000000000003,0.0,1.25,1.5,2.75,0.0,0.0,0.0,0.0,0.0,-1.25,-1.5,-2.75,0.0,-0.025000000000000022,-0.030000000000000027,-0.05500000000000005,0.0,-3.9750000000000005,-4.95,-8.925,9.2416,17.7384,21.6144,11.628,49.0,94.5,115.5,63.0,1.0,2.0,2.5,1.5,4.0,9.0,12.0,9.0,0.5625,1.1325,1.4212500000000001,0.86625,54.760000000000005,123.95,165.76,125.43,0.0,0.2450000000000001,0.4900000000000002,0.7350000000000003,0.0,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0,-1.5,0.0,-0.010000000000000009,-0.020000000000000018,-0.030000000000000027,0.0,-1.9500000000000002,-3.9000000000000004,-5.8500000000000005,mof_primitive
10.2784,14.300799999999999,20.286719999999995,13.219199999999997,55.0,76.6,109.2,72.0,1.0,1.6,2.2,1.6,2.8,6.4,8.4,7.2,0.5506599999999999,0.9028400000000001,1.2345000000000002,0.9116800000000002,44.092,95.43999999999998,129.172,114.80799999999999,0.0,0.45400000000000007,0.6500000000000001,1.1040000000000003,0.0,1.0,1.4,2.4,0.0,0.0,0.0,0.0,0.0,-1.0,-1.4,-2.4,0.0,-0.020000000000000018,-0.028000000000000025,-0.04800000000000004,0.0,-3.1800000000000006,-4.74,-7.92,9.2416,16.9936,26.2352,15.504,49.0,91.0,140.0,84.0,1.0,2.0,3.0,2.0,4.0,10.0,14.0,12.0,0.5625,1.1400000000000001,1.7025000000000001,1.155,54.760000000000005,138.38,193.14,167.24,0.0,0.4900000000000002,0.4900000000000002,0.9800000000000004,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,-0.020000000000000018,-0.020000000000000018,-0.040000000000000036,0.0,-3.9000000000000004,-3.9000000000000004,-7.800000000000001,mof_primitive
10.5376,13.255199999999999,21.109999999999996,14.585999999999999,56.5,71.25,113.75,79.5,1.0,1.5,2.25,1.75,2.5,6.0,8.0,7.5,0.5477,0.8473,1.2581250000000002,0.9952250000000001,41.425,91.91999999999999,126.87,122.605,0.0,0.5675000000000001,0.6900000000000002,1.2575000000000003,0.0,1.25,1.5,2.75,0.0,0.0,0.0,0.0,0.0,-1.25,-1.5,-2.75,0.0,-0.025000000000000022,-0.030000000000000027,-0.05500000000000005,0.0,-3.9750000000000005,-4.950000000000001,-8.925,9.2416,17.7384,21.6144,11.628,49.0,94.5,115.5,63.0,1.0,2.0,2.5,1.5,4.0,9.0,12.0,9.0,0.5625,1.1325,1.4212500000000001,0.86625,54.760000000000005,123.95,165.76,125.43,0.0,0.2450000000000001,0.4900000000000002,0.7350000000000003,0.0,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0,-1.5,0.0,-0.010000000000000009,-0.020000000000000018,-0.030000000000000027,0.0,-1.9500000000000002,-3.9000000000000004,-5.8500000000000005,mof_primitive
