lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
9.2416,15.504,32.9232,29.944000000000003,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.01,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.164,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.44375,2.54625,2.4375,54.76,209.05,301.655228,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.73,0.5,0.0,-9.75,-0.06421999999999972,-9.310665,mof_primitive
9.2416,15.504,32.9232,29.944,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.0100000000000002,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.16400000000001,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.4437499999999999,2.54625,2.4375,54.76,209.04999999999998,301.65522799999997,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.7300000000000001,0.49999999999999994,0.0,-9.75,-0.06421999999999983,-9.310665,mof_primitive
9.2416,15.504,32.9232,29.944000000000003,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.01,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.163999999999994,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.44375,2.54625,2.4375,54.76,209.05,301.655228,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.73,0.5,0.0,-9.75,-0.06421999999999983,-9.310665,mof_primitive
9.2416,15.504,32.9232,29.944,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.0100000000000002,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.163999999999994,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.44375,2.54625,2.4375,54.76,209.05,301.655228,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.73,0.5,0.0,-9.75,-0.06421999999999994,-9.310665000000002,mof_primitive
9.2416,15.504,32.9232,29.944000000000003,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.01,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.164,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.44375,2.54625,2.4375,54.76,209.05,301.655228,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.73,0.5,0.0,-9.75,-0.06421999999999972,-9.310665,mof_primitive
9.2416,15.504,32.9232,29.944,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.0100000000000002,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.16400000000001,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.4437499999999999,2.54625,2.4375,54.76,209.04999999999998,301.65522799999997,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.7300000000000001,0.49999999999999994,0.0,-9.75,-0.06421999999999983,-9.310665,mof_primitive
9.2416,15.504,32.9232,29.944000000000003,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.01,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.163999999999994,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.44375,2.54625,2.4375,54.76,209.05,301.655228,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.73,0.5,0.0,-9.75,-0.06421999999999983,-9.310665,mof_primitive
9.2416,15.504,32.9232,29.944,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.0100000000000002,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.163999999999994,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.44375,2.54625,2.4375,54.76,209.05,301.655228,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.73,0.5,0.0,-9.75,-0.06421999999999994,-9.310665000000002,mof_primitive
9.2416,15.504,32.9232,29.944000000000003,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.01,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.164,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.44375,2.54625,2.4375,54.76,209.05,301.655228,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.73,0.5,0.0,-9.75,-0.06421999999999972,-9.310665,mof_primitive
9.2416,15.504,32.9232,29.944,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.0100000000000002,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.164,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.44375,2.54625,2.4374999999999996,54.76,209.05,301.655228,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.73,0.5,0.0,-9.75,-0.06421999999999972,-9.310665,mof_primitive
9.2416,15.504,32.9232,29.944,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.0100000000000002,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.164,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.44375,2.54625,2.4375,54.76,209.05,301.655228,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.73,0.4999999999999999,0.0,-9.75,-0.06421999999999972,-9.310665,mof_primitive
9.2416,15.504,32.9232,29.944,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.0100000000000002,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.163999999999994,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.44375,2.54625,2.4375,54.76,209.05,301.655228,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.73,0.5,0.0,-9.75,-0.06421999999999994,-9.310665000000002,mof_primitive
9.2416,15.504,32.9232,29.944000000000003,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.01,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.164,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.44375,2.54625,2.4375,54.76,209.05,301.655228,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.73,0.5,0.0,-9.75,-0.06421999999999972,-9.310665,mof_primitive
9.2416,15.504,32.9232,29.944,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.0100000000000002,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.164,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.44375,2.54625,2.4374999999999996,54.76,209.05,301.655228,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.73,0.5,0.0,-9.75,-0.06421999999999972,-9.310665,mof_primitive
9.2416,15.504,32.9232,29.944,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.0100000000000002,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.164,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.44375,2.54625,2.4375,54.76,209.05,301.655228,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.73,0.4999999999999999,0.0,-9.75,-0.06421999999999972,-9.310665,mof_primitive
9.2416,15.504,32.9232,29.944,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.0100000000000002,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.164,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.44375,2.54625,2.4374999999999996,54.76,209.05,301.655228,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.73,0.5,0.0,-9.75,-0.06421999999999972,-9.310665,mof_primitive
9.2416,15.504,32.9232,29.944,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.0100000000000002,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.164,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.44375,2.54625,2.4375,54.76,209.05,301.655228,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.73,0.4999999999999999,0.0,-9.75,-0.06421999999999972,-9.310665,mof_primitive
9.2416,15.504,32.9232,29.944,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.0100000000000002,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.16400000000001,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.4437499999999999,2.54625,2.4375,54.76,209.04999999999998,301.65522799999997,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.7300000000000001,0.49999999999999994,0.0,-9.75,-0.06421999999999983,-9.310665,mof_primitive
9.2416,15.504,32.9232,29.944000000000003,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.01,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.163999999999994,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.44375,2.54625,2.4375,54.76,209.05,301.655228,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.73,0.5,0.0,-9.75,-0.06421999999999983,-9.310665,mof_primitive
9.2416,15.504,32.9232,29.944,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.0100000000000002,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.164,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.44375,2.54625,2.4374999999999996,54.76,209.05,301.655228,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.73,0.5,0.0,-9.75,-0.06421999999999972,-9.310665,mof_primitive
9.2416,15.504,32.9232,29.944,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.0100000000000002,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.164,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.44375,2.54625,2.4375,54.76,209.05,301.655228,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.73,0.4999999999999999,0.0,-9.75,-0.06421999999999972,-9.310665,mof_primitive
9.2416,15.504,32.9232,29.944,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.0100000000000002,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.16400000000001,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.4437499999999999,2.54625,2.4375,54.76,209.04999999999998,301.65522799999997,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.7300000000000001,0.49999999999999994,0.0,-9.75,-0.06421999999999983,-9.310665,mof_primitive
9.2416,15.504,32.9232,29.944000000000003,49.0,84.0,147.0,133.0,1.0,2.0,4.0,4.0,4.0,12.0,18.0,22.0,0.5625,1.155,1.98,2.01,54.760000000000005,167.24,226.492614,284.21261400000003,0.0,0.9800000000000004,1.33,2.3100000000000005,0.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.040000000000000036,0.36,0.31999999999999995,0.0,-7.800000000000001,-1.00711,-8.807110000000002,9.2416,19.38,43.4872,37.163999999999994,49.0,105.0,175.0,157.5,1.0,2.5,5.5,5.0,6.5,21.0,28.5,32.0,0.5625,1.44375,2.54625,2.4375,54.76,209.05,301.655228,342.69892100000004,0.0,1.2250000000000005,2.415,2.9750000000000005,0.0,2.5,13.5,12.5,0.0,0.0,0.0,0.0,0.0,-1.5,3.5,0.5,0.0,-0.050000000000000044,0.73,0.5,0.0,-9.75,-0.06421999999999983,-9.310665,mof_primitive
